Gender Sequence,Country,Race
female,China,Chinese
"F, M, M",Singapore,Chinese
"M,M,F,M",China,Chinese
"M,F,F",China,Chinese
"M,F,F,M,M",USA,American
"F,F,F,F,F",China,Asian
"F,F,M,F,F",China,Chinese
"F,M,F,F,F",China,Chinese
Female,China,Chinese
"F,F,F,M,M",China,Han
"F,M,M,M,M",China,Chinese
"F,M,M",Chian,Chinese
"F,M,F,F,M",China,Chinese
"F,F,F",China,Chinese
"F, F, M, M, F",Singapore,Chinese
"M,F,M,F,M",China,Chinese
"M, F, M, M",China,Chinese
"M,M,M,M,F,M",China,Chinese
F F F M F,China,Chinese
"F,F,F,F,M",China,Chinese
"M,M,M",China,Chinese
"M,F,M",CHINA,CHINESE
"F, F, F, M",China,Chinese
"F,F,F,F,F,M",China,Chinese
"F,F,M",CHINA,CHINESE
M M M,China China China,Chinese Chinese Chinese
"M,F,F,M,M,M,F,F,M,F,F,M,M,F,M,M,F,F",United Kingdom,British
"F,M,F,F,F",Norway,White/Caucasian
"M,M,F,F,M,M,M,F,M",China,Chinese
"F,M,F,F",China,Chinese
"M, F, M, F, F",China,Chinese
"M,M,M,M,M",China,Asian
"M,M,M,M,F",DUBAI,SOUTH-ASIAN
"F,M,M",China,Chinese
FFFFFFF,South Korea,Korean
"F,F,F,F,M",China,Chinese
F F F F F F F,China,Chinese
"F,F,F,F,F,F,F",China,Chinese
"F,M,M,M,F",China,Chinese
MFMMFF,Canada,White
"F,F,M,F,F,F",India,Indian
"F,M,M",Italy,Caucasian
"F,F,F,M,M",CHINA,CHINESE
famale,China,Chinese
"M,F,F",China,Han Chinese
"Female, Male, Female, Male",China,Han
"F,M,M",China,Chinese
"M,F,F,F,F,F",China,Chinese
male,Chinese,Chinese
"F,F,M","China,China,China","Asian,Asian,Asian"
"F, F, F",China,Chinese
"M, M, M, F, M, F",China,Chinese
"M, F, M, M , M, M, M",INDIA,ASIAN
"M,F,M,M,M,F",INDIA,INDIAN
"M,F,M,M,F,M,F,F",China,Chinese
"M,F,M,M,M",China,Chinese
"M,M,M,F,M,F,M,F,M",India ,Indian 
"M,M,M,F,M,F",China,Chinese
"M,F,F",Finland,Caucasian
"F,F,F,F,F",China,Asian
"F,F,F,M,F",Hong Kong,Chinese
"F,M,M,F,F,F,M,M,F",France,Caucasian
"F, F, F, M, M, M, F",Lebanon,Middle Eastern
"F, F, M",China,Asian
f,,
"M,M,M,F,M,M,F,F,M<",Singapore,Chinese
male,singapore,chinese
"M, M, F, F, F, F, F, F, F, M, M",Singapore ,Chinese
F,Singapore,Chinese
"F,F,F,F,F,F,M",Korea,Korean
"M,F,F,F",Singapore,Chinese
"M,F,F,M,F,M",Singapore,Chinese
"M,F,M,M,F",Singapore,Chinese
"M,M,M,M",Singapore,Chinese
F,Singapore,Chinese
,,
"M,F,M,F",Singapore,Chinese
"M,M,M,F,M,F,F",Singapore,Chinese
"F,F,M,M",Singapore,Chinese
"F,F,F,F,M",Korea,Korean
"F,F,F",China,Chinese
"F,F,F,F,M",Korea,Asian
"F,F,F,F,F,F",Singapore,Chinese
Female,Indonesia,Chinese
M,F,F
"M,M,F,M",singapore,Thai
"F,M,F,F",Philippines,Filipino
"M, M, M",Singapore,Chinese
"F,M,F",Singapore,Chinese
"F,F,M,M,F,M,F,M,F,F",,
"M,F,F",India,Indian
"F,M,F,F,F,F,M,F",Malaysia,Chinese
Female,China,Chinese
"M,M,M,F",China,Chinese
F F M F M M F F M,Singapore,Chinese
"F,F,F,M,F,F,F",Singapore,Chinese
"M,M,M",China,Chinese
M,M,M
"M, F, M, M, M, M, F, F",Malaysia ,Chinese
"F, M, F, M ",Indonesia,Chinese
"M,F,M",Singapore,Chinese
"F,F,F,F,F,M,F,F",Singapore,Chinese
MFM,Singapore,Chinese
"M,F,F",Singapore,Chinese
"M, F, M, M",Malaysia,Chinese
"M,M,F",Singapore,Chinese
"F,M,F,M",India,Hindi
"M, M, M, M, F, M",Singapore,Chinese
"F,F,F,M",Singapore,Chinese
"M,M,M,F,F,M,F",India,Asian
"M, M, M, M, M, F,M",India ,Indian 
"M,M,F,F,F",France,European
"F,M,M",Singapore,Chinese
"M,M,M,M",Singapore,Indian
"F,M,M",singapore,chinese
Male,Singapore,Chinese
"F,F,M,F,F",India,Indian
"M,M,M,M",Singapore,Chinese
"M, F, M",Singapore,Malay
"M, F, F, M",China,Chinese
"F,M,F,F,M",Singapore,Malay
