ResponseID,Funnel,Citizen,PrefSchool,Q1a,Q1b,Q2a,Q2b,Q2c,Q3,Q4_1_TEXT,Q4_2_TEXT,Q4_3_TEXT,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30,Q20,Q22,Q25A,Q25B,Q26a,Q26b,FunnelPerformance,CONSIDERATION,FAVORITE,Female,Age,Work_exp
R_00OqOJnWgjUZ9c1,1,14,Wharton,1,600,1,1,2,Havard Unversity Business School MBA program,Wharton School,ESPN Business School,Business School of Columbia University,1,1,5,0,4,2,0,3,0,0,1,3,3,4,4,0,1,1,4,5,4,4,4,3,4,3,2,4,5,1,5,1,2,1,2,3,4,4,5,5,,,5,,5,3,,5,,,,3,4,5,4,,,,8,3,5,5,4,4,4,2,2,3,4,5,3,5,4,5,4,3,5,3,5,5,3,4,3,5,5,2,5,3,5,3,,,,,,5,1.00,1.00,1,30,1
R_00OqOJnWgjUZ9c1,1,14,Wharton,1,600,1,1,2,Havard Unversity Business School MBA program,Wharton School,ESPN Business School,Business School of Columbia University,1,1,5,0,4,2,0,3,0,0,1,3,3,4,4,0,1,1,4,5,4,4,4,3,4,3,2,4,5,1,5,1,2,1,2,3,4,4,5,5,,,5,,5,3,,5,,,,3,4,5,4,,,,7,4,5,5,4,4,2,2,2,3,4,4,3,5,4,5,4,3,5,3,5,5,3,4,4,5,5,2,5,3,5,3,,,,,,3,1.00,0.00,1,30,1
R_018WlWuA3t54RJX,1,14,Harvard Business School,1,750,1,1,5,HBS,INSEAD,Stanford GSB,Wharton,5,3,2,4,2,1,1,4,1,0,1,1,1,1,2,1,0,1,3,5,5,3,4,3,3,4,3,4,5,1,5,1,4,1,3,1,4,3,5,4,5,4,4,5,4,,,5,,,,,,,4,,,,1,2,5,5,5,5,5,4,2,5,5,5,3,5,3,5,5,3,4,5,5,5,3,5,5,5,5,5,5,3,5,3,2,,,2,,5,1.00,1.00,0,35,4
R_018WlWuA3t54RJX,1,14,Harvard Business School,1,750,1,1,5,HBS,INSEAD,Stanford GSB,Wharton,5,3,2,4,2,1,1,4,1,0,1,1,1,1,2,1,0,1,3,5,5,3,4,3,3,4,3,4,5,1,5,1,4,1,3,1,4,3,5,4,5,4,4,5,4,,,5,,,,,,,4,,,,4,5,5,5,5,3,5,3,5,5,5,4,5,5,3,5,4,5,3,5,5,5,3,5,5,5,5,3,5,3,5,3,2,,,2,,4,1.00,1.00,0,35,4
R_01TWdrQC4YNj9lj,2,14,Stanford GSB,1,750,1,2,2,Stanford GSB,HBS,Wharton,MIT Sloan,4,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,1,5,1,5,1,1,1,3,3,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,2,2,1.00,0.00,1,33,3
R_01TWdrQC4YNj9lj,2,14,Stanford GSB,1,750,1,2,2,Stanford GSB,HBS,Wharton,MIT Sloan,4,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,1,5,1,5,1,1,1,3,3,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,2,2,1.00,0.00,1,33,3
R_02muyZJp0wCX8cR,2,14,CUHK Business School,1,600,1,2,2,The Wharton School of the University of Pennsylvania,Harvard Business School,Stanford Graduate School of Business,London Business School,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,2,5,4,4,5,3,3,3,2,5,5,2,5,1,3,3,1,3,4,4,5,5,,,,,,,,,,,,,,,,,,,6,3,5,5,5,5,5,5,3,3,5,4,3,4,3,4,5,5,4,5,5,5,3,3,4,5,5,4,4,3,5,2,,,,,,1,0.00,0.00,0,30,2
R_02muyZJp0wCX8cR,2,14,CUHK Business School,1,600,1,2,2,The Wharton School of the University of Pennsylvania,Harvard Business School,Stanford Graduate School of Business,London Business School,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,2,5,4,4,5,3,3,3,2,5,5,2,5,1,3,3,1,3,4,4,5,5,,,,,,,,,,,,,,,,,,,8,3,5,5,5,5,3,5,3,3,5,4,3,4,3,4,5,5,5,5,5,5,3,3,5,5,5,4,4,3,5,2,,,,,,1,0.00,0.00,0,30,2
R_06ReIP7UGvpKCc5,1,14,Kellogg,1,750,1,1,6,Wharton School,Kellogg,Haas,Fugua,3,3,4,3,4,5,0,3,0,0,3,1,3,3,4,0,2,3,2,4,4,2,2,2,3,4,4,4,5,1,4,3,4,2,5,1,1,3,4,4,4,4,5,4,4,5,,4,,,2,,4,4,4,,2,4,4,3,4,4,5,3,5,3,3,4,4,3,4,4,3,4,3,5,4,5,4,4,3,5,3,4,4,3,3,3,3,1,1,2,,3,,3,1.00,0.00,0,30,2
R_06ReIP7UGvpKCc5,1,14,Kellogg,1,750,1,1,6,Wharton School,Kellogg,Haas,Fugua,3,3,4,3,4,5,0,3,0,0,3,1,3,3,4,0,2,3,2,4,4,2,2,2,3,4,4,4,5,1,4,3,4,2,5,1,1,3,4,4,4,4,5,4,4,5,,4,,,2,,4,4,4,,2,4,7,3,5,4,4,3,4,3,3,4,3,5,2,3,3,4,5,4,3,4,4,5,3,5,4,5,5,3,3,3,3,1,1,2,,3,,3,1.00,0.00,0,30,2
