Airport,Country,Latitude,Longtitude,Type
Jiuzhai Huanglong Airport,China,32.8533333333,103.682222222,U
Navoi Airport,Uzbekistan,40.1171989440918,65.1707992553711,E
Roitzschjora Airport,Germany,51.5777778625488,12.4944438934326,U
Bad Neuenahr-Ahrweiler Airport,Germany,50.5577774047852,7.13638877868652,E
Parys Airport,South Africa,-26.8892993927002,27.5034008026123,U
Iwo Jima Airport,Japan,24.7840003967285,141.322998046875,U
Inácio Luís do Nascimento Airport,Brazil,-11.2966,-57.5495,S
Chernobayevka Airport,Ukraine,46.6758003235,32.506401062,E
Ronneby Airport,Sweden,56.266700744629,15.265000343323,E
Yiwu Airport,China,NA,NA,U
Akhiok Airport,United States,56.9387016296,-154.182998657,A
Utirik Airport,Marshall Islands,11.222,169.852005,U
Ishurdi Airport,Bangladesh,24.1525001525879,89.0494003295898,U
Bananera Airport,Guatemala,15.47350025177,-88.8371963500977,U
Bocas Del Toro International Airport,Panama,9.34084987640381,-82.2508010864258,U
Richmond Airport,Australia,-20.7019004821777,143.115005493164,N
Yakushima Airport,Japan,30.3855991364,130.658996582,U
Centennial Airport,United States,39.57009888,-104.848999,A
Talkeetna Airport,United States,62.320499420166,-150.09399414062,A
Laurence G Hanscom Field,United States,42.47000122,-71.28900146,A
Apoteri Airport,Guyana,4.01387977600098,-58.6049995422363,U
Alberto Delgado Airport,Cuba,21.7882995605469,-79.997200012207,U
Chimbu Airport,Papua New Guinea,NA,NA,U
Shahid Vatan Pour Air Base,Iran,32.5670013427734,51.6916007995605,E
Mitiga Airport,Libya,32.894100189209,13.2760000228882,N
Mezen Airport,Russia,65.8783340454102,44.2150001525879,N
Mainz-Finthen Airport,Germany,49.967499,8.147222,E
Gratiot Community Airport,Canada,43.322101593,-84.68800354,A
Turweston Airport,United Kingdom,52.0407981873,-1.09555995464,E
Al Massira Airport,Morocco,30.3250007629395,-9.41306972503662,N
Saniat R'mel Airport,Morocco,35.594299316406,-5.320020198822,N
Northwest Arkansas Regional Airport,United States,36.281898,-94.306801,A
Mahshahr Airport,Iran,30.5562000274658,49.1519012451172,E
Americana Airport,Brazil,-22.7558002471924,-47.269401550293,S
Metlakatla Seaplane Base,United States,NA,NA,A
Astypalaia Airport,Greece,36.5798988342,26.3757991791,E
Oceana NAS,United States,36.8207016,-76.03350067,A
Belaga Airport,Malaysia,2.65000009537,113.766998291,N
Besançon-La Vèze Airport,France,47.2066,6.083681,E
Cáceres Airport,Brazil,-16.0436000823975,-57.6299018859863,S
Imphal Airport,India,24.7600002289,93.896697998,N
Villa Airport,Maldives,3.47055555556,72.8358333333,U
Surin Airport,Thailand,14.868300437927,103.49800109863,U
Waynesville-St. Robert Regional Forney field,United States,37.74160004,-92.14070129,A
Vagar Airport,Faroe Islands,62.0635986328125,-7.27721977233887,E
Wales Airport,United States,65.622593,-168.095,A
Vršac International Airport,Serbia,45.1469,21.3099,E
Reims-Prunay Airport,France,49.2086982727051,4.15657997131348,E
Misawa Air Base,Japan,40.7032012939,141.367996216,U
Kotlik Airport,United States,63.0306015015,-163.533004761,A
Joaquín de Agüero Airport,Cuba,21.5094559067,-77.0205974579,U
Namtu Airport,Burma,23.0830001831055,97.3830032348633,N
Cecil Airport,United States,30.2187004089,-81.876701355,A
Wittman Regional Airport,United States,43.9844017028809,-88.556999206543,A
José Joaquín de Olmedo International Airport,Ecuador,-2.15741991997,-79.8835983276,U
Cessnock Airport,Australia,-32.787498,151.341995,O
Kokshetau Airport,Kazakhstan,53.3291015625,69.594596862793,U
Selaparang Airport,Indonesia,-8.56070995331,116.095001221,N
Chacarita Airport,Costa Rica,9.98141002655,-84.7726974487,U
Tashkent International Airport,Uzbekistan,41.257900238,69.2811965942,U
Saïss Airport,Morocco,33.9272994995,-4.97796010971,N
Tunis Carthage International Airport,Tunisia,NA,NA,E
Union County Airport,United States,40.2247009277344,-83.3516006469727,A
Alexandria Airport,Greece,40.6511001586914,22.4887008666992,E
Enua Airport,Cook Islands,-19.9678001403809,-158.119003295898,U
Niagara District Airport,Canada,43.1916999816895,-79.1716995239258,A
Lamerd Airport,Iran,27.3726997375,53.1888008118,E
Bellingham International Airport,United States,48.7928009033203,-122.53800201416,A
Eleftherios Venizelos International Airport,Greece,37.9364013672,23.9444999695,E
Independence Municipal Airport,United States,37.1584014893,-95.7783966064,A
Cataratas Del Iguazú International Airport,Argentina,-25.7373008728,-54.473400116,N
Thessaloniki Macedonia International Airport,Greece,40.5196990966797,22.9708995819092,E
Halim Perdanakusuma International Airport,Indonesia,-6.26661014556885,106.890998840332,N
Decatur County Industrial Air Park,United States,30.9715004,-84.63739777,A
Wings Field,United States,40.1375007629,-75.2650985718,A
Williamson Sodus Airport,United States,43.23469925,-77.1210022,A
Leeds East Airport,United Kingdom,53.834301,-1.1955,E
RAF Brize Norton,United Kingdom,51.75,-1.58362,E
Luderitz Airport,Namibia,-26.6874008178711,15.2428998947144,S
Misima Island Airport,Papua New Guinea,-10.6892004013,152.837997437,U
St Paul Downtown Holman Field,United States,44.9345016479492,-93.0599975585938,A
Tabarka 7 Novembre Airport,Tunisia,36.9799995422363,8.87693977355957,E
Tri Cities Regional Tn Va Airport,United States,36.4752006530762,-82.4074020385742,A
Woomera Airfield,Australia,-31.1441993713379,136.817001342773,O
Rancho San Simeon Airport,United States,35.6077003479004,-121.110000610352,A
Mactan Cebu International Airport,Philippines,10.307499885559,123.97899627686,N
Ben Ya'akov Airport,Israel,32.9809989929199,35.5718994140625,E
Valdosta Regional Airport,United States,30.7824993133545,-83.2767028808594,A
Kengtung Airport,Burma,NA,NA,U
Port Moller Airport,United States,56.0060005188,-160.561004639,A
Lester B. Pearson International Airport,Canada,43.6772003174,-79.6305999756,A
Ocala International Airport - Jim Taylor Field,United States,29.17259979,-82.22419739,A
Auxerre-Branches Airport,France,47.8502006530762,3.49710988998413,E
Norman Wells Airport,Canada,65.2816009521484,-126.797996520996,A
Garner Field,United States,29.2112998962,-99.743598938,A
Manapouri Airport,New Zealand,-45.5331001281738,167.649993896484,Z
Aomori Airport,Japan,40.7346992492676,140.690994262695,U
Iconi Airport,Comoros,-11.7108001709,43.2439002991,U
Zephyrhills Municipal Airport,United States,28.2282009125,-82.1558990479,A
Maroantsetra Airport,Madagascar,-15.4366998672485,49.6883010864258,U
Somerset Airport,United States,40.6259994506836,-74.6701965332031,A
Leirin Airport,Norway,61.015598297119,9.2880601882935,E
Tbilisi International Airport,Georgia,41.6692008972,44.95470047,N
Zunyi Xinzhou Airport,China,27.5895,107.0007,N
Maxwell Air Force Base,United States,32.3829002380371,-86.3657989501953,A
Krasnokamensk Airport,Russia,50.0331077575684,118.061141967773,N
Long Apung Airport,Indonesia,1.704486,114.970297,N
Jamestown Regional Airport,United States,46.92969894,-98.67819977,A
Morombe Airport,Madagascar,-21.7539005279541,43.3754997253418,U
Sir Bani Yas Airport,United Arab Emirates,24.283611,52.580278,U
Wanxian Airport,China,30.8017,108.433,U
Zhanjiang Airport,China,21.214399,110.358002,U
São Pedro Airport,Cape Verde,16.8332004547119,-25.0552997589111,U
Venice Marco Polo Airport,Italy,45.505299,12.3519,E
Robert (Bob) Curtis Memorial Airport,United States,66.81790161,-161.0189972,A
Nightmute Airport,United States,60.471000671387,-164.70100402832,A
Vohimarina Airport,Madagascar,-13.3758001327515,50.002799987793,U
Namsang Airport,Burma,20.8904991149902,97.7359008789062,U
