Country,Population,GDP_Per_Capita,Life_Expectancy
Afghanistan,37209007,544,60.5
Angola,31787566,3669,52.4
Albania,2938428,5289,77.8
United Arab Emirates,9682088,40711,77.1
Argentina,45101781,11627,76.3
Armenia,2936706,4169,74.8
Antigua & Barbuda,104084,17636,76.4
Australia,25088636,56352,82.8
Austria,8766201,51509,81.5
Azerbaijan,10014575,4569,72.7
Burundi,11575964,307,59.6
Belgium,11562784,46724,81.1
Benin,11801595,915,60
Burkina Faso,20321560,729,59.9
Bangladesh,168065920,1745,71.8
Bulgaria,6988739,9267,74.5
Bahrain,1637896,25851,76.9
Bahamas,403095,34003,76.1
Bosnia & Herzegovina,3501774,5674,77.4
Belarus,9433874,6306,72.3
Belize,390231,4862,70.1
Bolivia,11379861,3682,70.7
Brazil,212392717,8968,75
Barbados,287010,17961,75.5
Brunei,439336,32414,77.7
Bhutan,826229,3215,69.8
Botswana,2374636,8137,65.7
Central African Republic,4825711,430,52.5
Canada,37279811,46261,82.2
Switzerland,8608259,82950,83.4
Chile,18336653,16079,80.5
China,1420062022,9608,76.1
Côte d’Ivoire,25531083,1680,53.3
Cameroon,25312993,1548,57.3
Congo - Kinshasa,86727573,449,59.8
Congo - Brazzaville,5542197,2511,64.7
Colombia,49849818,6684,74.8
Comoros,850910,873,63.5
Cape Verde,560349,3563,73.3
Costa Rica,4999384,11744,79.6
Cyprus,1198427,28340,80.5
Czechia,10630589,22850,78.8
Germany,82438639,48264,81
Djibouti,985690,2085,63.5
Denmark,5775224,60692,80.6
Dominican Republic,10996774,7881,73.9
Algeria,42679018,4238,75.6
Ecuador,17100444,6316,76.2
Egypt,101168745,2573,70.9
Eritrea,5309659,1112,64.7
Spain,46441049,30697,82.8
Estonia,1303798,22990,77.6
Ethiopia,110135635,853,64.8
Finland,5561389,49845,81.1
Fiji,918757,5752,69.9
France,65480710,42878,82.4
Gabon,2109099,8297,66
UK,66959016,42558,81.2
Georgia,3904204,4400,74.4
Ghana,30096970,2206,62.4
Guinea,13398180,883,59
Gambia,2228075,745,61.1
Guinea-Bissau,1953723,840,58.9
Equatorial Guinea,1360104,10453,58.2
Greece,11124603,20408,81
Grenada,108825,11042,73.6
Guatemala,17577842,4575,71.9
Guyana,786508,4649,66.2
Honduras,9568688,2521,74.6
Croatia,4140148,14816,78
Haiti,11242856,857,63.5
Hungary,9655361,15924,75.9
Indonesia,269536482,3871,69.1
India,1368737513,2036,68.3
Ireland,4847139,76099,81.4
Iran,82820766,5491,75.5
Iraq,40412299,5930,68.9
Iceland,340566,74278,82.7
Israel,8583916,41644,82.5
Italy,59216525,34260,82.7
Jamaica,2906339,5392,76.2
Jordan,10069794,4278,74.1
Japan,126854745,39306,83.7
Kazakhstan,18592970,9237,70.2
Kenya,52214791,1857,63.4
Kyrgyzstan,6218616,1268,71.1
Cambodia,16482646,1509,68.7
Kiribati,120428,1641,66.3
South Korea,51339238,31346,82.3
Kuwait,4248974,30839,74.7
Laos,7064242,2720,65.7
Lebanon,6065922,9257,74.9
Liberia,4977720,728,61.4
Libya,6569864,6692,72.7
St. Lucia,180454,10610,75.2
Sri Lanka,21018859,4068,74.9
Lesotho,2292682,1358,53.7
Lithuania,2864459,19143,73.6
Luxembourg,596992,114234,82
Latvia,1911108,18032,74.6
Morocco,36635156,3359,74.3
Moldova,4029750,3218,72.1
Madagascar,26969642,459,65.5
Maldives,451738,14501,78.5
Mexico,132328035,9807,76.7
Macedonia,2086720,6100,75.7
Mali,19689140,927,58.2
Malta,433245,31058,81.7
Myanmar (Burma),54336138,1298,66.6
Montenegro,629355,8652,76.1
Mongolia,3166244,4026,68.8
Mozambique,31408823,476,57.6
Mauritania,4661149,1143,63.1
Mauritius,1271368,11281,74.6
Malawi,19718743,351,58.3
Malaysia,32454455,10942,75
Namibia,2641996,5727,65.8
Niger,23176691,477,61.8
Nigeria,200962417,2049,54.5
Nicaragua,6351157,2108,74.8
Netherlands,17132908,53106,81.9
Norway,5400916,81695,81.8
Nepal,29942018,972,69.2
New Zealand,4792409,41267,81.6
Oman,5001875,19302,76.6
Pakistan,204596442,1555,66.4
Panama,4226197,15679,77.8
Peru,32933835,7002,75.5
Philippines,108106310,3104,68.5
Papua New Guinea,8586525,2530,62.9
Poland,38028278,15431,77.5
Portugal,10254666,23186,81.1
Paraguay,6981981,5899,74
Qatar,2743901,70780,78.2
Romania,19483360,12285,75
Russia,143895551,11327,70.5
Rwanda,12794412,791,66.1
Saudi Arabia,34140662,23566,74.5
Sudan,42514094,808,64.1
Senegal,16743859,1474,66.7
Singapore,5868104,64041,83.1
Solomon Islands,635254,2271,69.2
Sierra Leone,7883123,516,50.1
El Salvador,6445405,3924,73.5
Serbia,8733407,7243,75.6
South Sudan,13263184,303,57.3
São Tomé & Príncipe,213379,2063,67.5
Suriname,573085,5799,71.6
Slovakia,5450987,19582,76.7
Slovenia,2081900,26243,80.8
Sweden,10053135,53873,82.4
Seychelles,95702,16472,73.2
Chad,15814345,874,53.1
Togo,8186384,670,59.9
Thailand,69306160,7187,74.9
Tajikistan,9292000,826,69.7
Turkmenistan,5942561,7646,66.3
Timor-Leste,1352360,2435,68.3
Tonga,110041,4666,73.5
Trinidad & Tobago,1375443,16223,71.2
Tunisia,11783168,3423,75.3
Turkey,82961805,9346,75.8
Tanzania,60913557,1134,61.8
Uganda,45711874,724,62.3
Ukraine,43795220,2963,71.3
Uruguay,3482156,17165,77
USA,329093110,62606,79.3
Uzbekistan,32807368,1263,69.4
St. Vincent & Grenadines,110488,7491,73.2
Venezuela,32779868,3374,74.1
Vietnam,97429061,2551,76
Vanuatu,288017,3254,72
Samoa,198909,4318,74
Yemen,29579986,872,65.7
South Africa,58065097,6377,62.9
Zambia,18137369,1417,61.8
Zimbabwe,17297495,1712,60.7
