Station.ID,Capacity,Station.Name,Location
1,19,"River Street , Clerkenwell","(51.529163,-0.10997)"
2,37,"Phillimore Gardens, Kensington","(51.499606,-0.197574)"
3,32,"Christopher Street, Liverpool Street","(51.521283,-0.084605)"
4,23,"St. Chad's Street, King's Cross","(51.530059,-0.120973)"
5,27,"Sedding Street, Sloane Square","(51.49313,-0.156876)"
6,18,"Broadcasting House, Marylebone","(51.518117,-0.144228)"
7,16,"Charlbert Street, St. John's Wood","(51.5343,-0.168074)"
8,18,"Lodge Road, St. John's Wood","(51.528341,-0.170134)"
9,19,"New Globe Walk, Bankside","(51.507385,-0.09644)"
10,18,"Park Street, Bankside","(51.505974,-0.092754)"
11,24,"Brunswick Square, Bloomsbury","(51.523951,-0.122502)"
12,49,"Malet Street, Bloomsbury","(51.52168,-0.130431)"
13,21,"Scala Street, Fitzrovia","(51.519914,-0.136039)"
14,48,"Belgrove Street , King's Cross","(51.529943,-0.123616)"
15,26,"Great Russell Street, Bloomsbury","(51.517727,-0.127854)"
16,22,"Cartwright Gardens , Bloomsbury","(51.526357,-0.125979)"
17,26,"Hatton Wall, Holborn","(51.521661,-0.109006)"
18,27,"Drury Lane, Covent Garden","(51.51477,-0.122219)"
19,30,"Taviton Street, Bloomsbury","(51.52505,-0.131161)"
20,28,"Drummond Street , Euston","(51.527736,-0.135273)"
21,16,"Hampstead Road (Cartmel), Euston","(51.530078,-0.138846)"
22,19,"Northington Street , Holborn","(51.522264,-0.114079)"
23,16,"Red Lion Square, Holborn","(51.519435,-0.119123)"
24,35,"British Museum, Bloomsbury","(51.51908,-0.124678)"
25,32,"Doric Way , Somers Town","(51.528833,-0.13225)"
26,21,"Ampton Street , Clerkenwell","(51.52728,-0.118295)"
27,33,"Bouverie Street, Temple","(51.513821,-0.107927)"
28,19,"Bolsover Street, Fitzrovia","(51.523518,-0.143613)"
29,22,"Hereford Road, Bayswater","(51.513735,-0.193487)"
30,24,"Windsor Terrace, Hoxton","(51.529154,-0.093421)"
31,36,"Fanshaw Street, Hoxton","(51.529537,-0.083353)"
32,43,"Leonard Circus , Shoreditch","(51.524696,-0.084439)"
33,18,"Central House, Aldgate","(51.5156,-0.070056)"
34,16,"Pancras Road, King's Cross","(51.534123,-0.129386)"
36,28,"De Vere Gardens, Kensington","(51.501737,-0.18498)"
37,17,"Penywern Road, Earl's Court","(51.491593,-0.192369)"
38,17,"Abingdon Villas, Kensington","(51.497387,-0.197245)"
39,41,"Shoreditch High Street, Shoreditch","(51.526377,-0.07813)"
40,16,"Commercial Street, Shoreditch","(51.52127,-0.075578)"
42,28,"Wenlock Road , Hoxton","(51.530991,-0.093903)"
43,18,"Crawford Street, Marylebone","(51.52026,-0.157183)"
44,21,"Bruton Street, Mayfair","(51.510736,-0.144165)"
45,26,"Boston Place, Marylebone","(51.522511,-0.162298)"
46,16,"Nesham Street, Wapping","(51.507131,-0.06691)"
47,19,"Warwick Avenue Station, Maida Vale","(51.523344,-0.183846)"
48,25,"Godliman Street, St. Paul's","(51.512484,-0.099141)"
49,16,"Curzon Street, Mayfair","(51.507069,-0.145904)"
50,27,"East Road, Hoxton","(51.528673,-0.087459)"
51,29,"Finsbury Library , Finsbury","(51.526717,-0.104298)"
52,18,"Roscoe Street, St. Luke's","(51.522954,-0.094934)"
53,18,"Grafton Street, Mayfair","(51.509992,-0.143495)"
54,27,"Golden Lane, Barbican","(51.521747,-0.094475)"
55,33,"Finsbury Circus, Liverpool Street","(51.517075,-0.086685)"
56,16,"Paddington Street, Marylebone","(51.520583,-0.154701)"
57,32,"Guilford Street , Bloomsbury","(51.523346,-0.120202)"
58,20,"New Inn Yard, Shoreditch","(51.524526,-0.079248)"
60,18,"Lisson Grove, St. John's Wood","(51.526448,-0.17219)"
61,33,"Great Dover Street, The Borough","(51.497382,-0.089446)"
62,24,"Cotton Garden Estate, Kennington","(51.490757,-0.106323)"
63,27,"Murray Grove , Hoxton","(51.53089,-0.089782)"
64,26,"William IV Street, Strand","(51.509462,-0.124749)"
65,17,"Gower Place , Euston","(51.525227,-0.135188)"
66,40,"Holborn Circus, Holborn","(51.51795,-0.108657)"
67,28,"Hatton Garden, Holborn","(51.518825,-0.108028)"
68,26,"Theobald's Road , Holborn","(51.520596,-0.116688)"
70,24,"Calshot Street , King's Cross","(51.53136,-0.117069)"
71,34,"Newgate Street , St. Paul's","(51.515418,-0.09885)"
72,16,"Farringdon Lane, Clerkenwell","(51.52352,-0.10834)"
73,37,"Old Street Station, St. Luke's","(51.525726,-0.088486)"
74,17,"Vauxhall Cross, Vauxhall","(51.485917,-0.124469)"
75,19,"Torrens Street, Angel","(51.532199,-0.10548)"
76,21,"Longford Street, The Regent's Park","(51.525595,-0.144083)"
77,26,"Russell Square Station, Bloomsbury","(51.523418,-0.124121)"
78,17,"Sadlers Sports Centre, Finsbury","(51.524868,-0.099489)"
80,45,"Webber Street , Southwark","(51.500693,-0.102091)"
81,19,"Great Titchfield Street, Fitzrovia","(51.520253,-0.141327)"
82,15,"Chancery Lane, Holborn","(51.514274,-0.111257)"
84,25,"Breams Buildings, Holborn","(51.515937,-0.111778)"
85,41,"Tanner Street, Bermondsey","(51.500647,-0.0786)"
86,24,"Sancroft Street, Vauxhall","(51.489479,-0.115156)"
87,16,"Devonshire Square, Liverpool Street","(51.516468,-0.079684)"
88,25,"Bayley Street , Bloomsbury","(51.518587,-0.132053)"
89,18,"Tavistock Place, Bloomsbury","(51.52625,-0.123509)"
90,27,"Harrington Square 1, Camden Town","(51.533019,-0.139174)"
91,20,"Walnut Tree Walk, Vauxhall","(51.493686,-0.111014)"
92,41,"Borough Road, Elephant & Castle","(51.498898,-0.10044)"
93,37,"Cloudesley Road, Angel","(51.534408,-0.109025)"
94,28,"Bricklayers Arms, Borough","(51.495061,-0.085814)"
95,15,"Aldersgate Street, Barbican","(51.520841,-0.09734)"
96,26,"Falkirk Street, Hoxton","(51.53095,-0.078505)"
97,18,"Gloucester Road (North), Kensington","(51.497924,-0.183834)"
98,54,"Hampstead Road, Euston","(51.525542,-0.138231)"
99,16,"Old Quebec Street, Marylebone","(51.514577,-0.158264)"
100,24,"Albert Embankment, Vauxhall","(51.490435,-0.122806)"
101,22,"Queen Street 1, Bank","(51.511553,-0.09294)"
102,17,"Jewry Street, Aldgate","(51.513406,-0.076793)"
103,18,"Vicarage Gate, Kensington","(51.504723,-0.192538)"
104,34,"Crosswall, Tower","(51.511594,-0.077121)"
105,26,"Westbourne Grove, Bayswater","(51.515529,-0.19024)"
106,21,"Woodstock Street, Mayfair","(51.514105,-0.147301)"
107,20,"Finsbury Leisure Centre, St. Luke's","(51.526008,-0.096317)"
108,29,"Abbey Orchard Street, Westminster","(51.498125,-0.132102)"
109,56,"Soho Square , Soho","(51.515631,-0.132328)"
110,17,"Wellington Road, St. John's Wood","(51.533043,-0.172528)"
111,28,"Park Lane , Hyde Park","(51.510017,-0.157275)"
112,42,"Stonecutter Street, Holborn","(51.515809,-0.10527)"
113,19,"Gloucester Road (Central), South Kensington","(51.496462,-0.183289)"
114,22,"Park Road (Baker Street), The Regent's Park","(51.524517,-0.158963)"
115,34,"Braham Street, Aldgate","(51.514233,-0.073537)"
116,21,"Little Argyll Street, West End","(51.514499,-0.141423)"
117,25,"Lollard Street, Vauxhall","(51.49288,-0.114934)"
118,13,"Rochester Row, Westminster","(51.495827,-0.135478)"
119,18,"Bath Street, St. Luke's","(51.525893,-0.090847)"
120,17,"The Guildhall, Guildhall","(51.515735,-0.09308)"
121,22,"Baker Street, Marylebone","(51.518913,-0.156166)"
122,23,"Norton Folgate, Liverpool Street","(51.521113,-0.078869)"
123,18,"St. John Street, Finsbury","(51.52836,-0.104724)"
124,20,"Eaton Square, Belgravia","(51.496544,-0.150905)"
125,21,"Borough High Street, The Borough","(51.500694,-0.094524)"
126,52,"Museum of London, Barbican","(51.517821,-0.096496)"
127,17,"Wood Street, Guildhall","(51.517008,-0.093885)"
128,22,"Emperor's Gate, South Kensington","(51.495362,-0.185296)"
129,18,"Golden Square, Soho","(51.511897,-0.137043)"
